company,job_title,company_rating,job_description,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Lilly,Data Scientist - 1st Party Data,4.1,"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.
Eli Lilly Services India Pvt Ltd
Business Insights & Analytics – First Party Data: Data Scientist
About the team:
As Eli Lilly strives to achieve its purpose of making life better for patients, we have been building up our in-house ‘Consumer Experience’ function, which will design and execute next-generation digital marketing campaigns aimed at informing and educating consumers (or patients) directly.
To support the Consumer marketing teams in their decision-making, a data and analytics team has been set up in Indianapolis (HQ) and Bengaluru (LCCI). This team uses works closely with business stakeholders to enable them to make more informed, data driven decisions. A key area of expansion for the team in 2024 is to help facilitate the implementation of a CDP (customer data platform). As part of this team, we are excited to offer the role of a data scientist who will be an integral part of the implementation and scaling of this CDP.
Core Responsibilities:
Use Applied statistics, Machine Learning and Deep learning techniques and build models to answer business questions at the intersection of the pharmaceutical and digital marketing spaces to provide value to marketing and media teams.
Use statistical and machine learning techniques to analyze customer data within the CDP.
Implement predictive models to make real-time decisions with the CDP.
Build and maintain deep knowledge of the continuously evolving digital marketing landscape.
Continuous learning and experimenting new with possibilities for consumer marketing analytics.
Collaborate with cross functional teams and external consultants to help review or translate this work to other team members.
Stay current with respect to statistical/mathematical modelling methodology, to maintain proficiency in applying new and varied methods, and to be competent in justifying methods selected.
Required

2-6 years of relevant experience.
Demonstrated in-depth hands-on experience in building models using statistical (Regression, Clustering, Causal Inference, Time series Analysis), ML modelling techniques (Gradient boosting trees, Support Vector Machine, KNN) and Deep Learning (RNNs, LSTM, Transfer learning-based object detection, NLP)
Proven experience working with Customer Data Platforms (CDP) or Data Management Platform (DMP) or CRM tool is preferred.
Strong prior experience in data science projects from start to finish (including ideation, data exploration, modelling for prediction AND inference and results generation)
Highly Proficient in R and Python and Either one of deep learning frameworks Keras/PyTorch
Good to have - Ability to write basic SQL.
Creative problem solving, attention to detail, flexibility and adaptability.
Comfort with ambiguity and a willingness to work with a high degree of autonomy.
Demonstrated ability to meet deadlines while managing multiple large-scale projects in a fast-paced and rapidly changing environment.
Strong interpersonal communication skills (written and verbal)
Preferred Qualifications

Experience working with digital data for Healthcare/Retail/BFSI/Digital native companies
Familiarity with cloud technology and AWS services for analytics
Familiarity with Machine Learning Productionization workflows Docker containers etc
Education:
PhD / Master’s degree in technology, statistics, econometrics, operations research or computer science from top educational institutes (IITs / IISc)
Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.
Lilly does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.
#WeAreLilly",Bengaluru,"₹8,80,909",/yr (est.),10000+ Employees,1876,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,3.9,4.0,3.6,3.9
UBS,Data Sourcing Analyst,3.9,"India
Operations, Product Management and Development
Group Functions
Job Reference #
284613BR
City
Pune
Job Type
Full Time
Your role
Are you a well organized team player, able to adapt to a dynamic and changing environment? Are you curious and want to learn more about IT applications, data architecture and the different areas of a global financial services organization?

We are looking for a Data Sourcing Analyst to:
Partner with the different business divisions and functions at UBS to identify their master sources of data and record these so anyone looking for data can take it to the right place
Improve our operational processes and standards around this process
Use the information that we capture about these applications to drive improvements to how the most important data at UBS is managed
Your team
You'll be working as part of the Group Data Management Office in Pune. We are responsible for embedding a data management culture across UBS to improve Data Quality, including defining standards for applications that distribute data across the organization. You will partner with Data Governance and IT teams within the business divisions to implement these standards.

We are a global team, always looking to support, listen and learn from each other. We also get involved in division-wide initiatives outside of our scope of work to foster team bonding and collaboration with the winder Data Management office. Diversity helps us grow, together. That’s why we are also committed to fostering and advancing diversity, equity, and inclusion. It strengthens our business and brings value to our clients.
Your expertise
Experience in the Banking/Finance services industry with exposure to software development and/or sourcing data (e.g. analytics)
The ability to grasp concepts and processes quickly and explain them back to stakeholders in a digestible manner
The ability to handle multiple tasks independently and manage conflicting priorities whilst still delivering at high standards and meeting expectations
The ability to develop and maintain close working relationships, across business areas and technology, with a strong client management mindset
Excellent communication (written and verbal) and organization skills, with a pro-active ""can do"" attitude
The utilization of a structured approach to work, with the ability to convey updates on progress
The ability to take responsibility and stay focused on objectives
Strong analytical, problem solving, and synthesizing skills
Technical skills that would benefit the role include Alteryx, PowerBI, advanced Microsoft Office skills (particularly Excel and PowerPoint), Collibra
How we hire
This role requires an assessment on application. Learn more about how we hire: www.ubs.com/global/en/careers/experienced-professionals.html",Pune,"₹6,93,988",/yr (est.),10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
Intercontinental Exchange,Data Associate,3.8,"Job Purpose
Intercontinental Exchange (NYSE: ICE) is a Fortune 500 company that operates global markets and clearing houses, and delivers information and technology designed to help companies around the world manage risk, access information and raise capital. We serve customers in over 70 countries with a team of world-class employees. We recruit passionate, knowledgeable professionals and offer a collaborative, results-oriented environment where they help build innovative solutions to help our customers thrive in global markets.
At Intercontinental Exchange, our diverse team is working to create and improve technology that solves market structure challenges for market participants around the world. Whether its designing and managing the tech infrastructure for global trading and clearing or developing leading-edge market data solutions, our teams are a critical part of global markets.
As we continue to grow and expand, were looking for motivated, results-oriented professionals who share our entrepreneurial spirit and commitment to improving the global marketplace. We offer a comprehensive and competitive compensation and benefits package to ensure the health and financial security of our employees.
IDD (ICE Data Derivatives) team is primarily focused on analyzing CDS and Bonds prices provided by real time traders. This role is pivotal to the data collection process. The data we maintain enables us to provide a variety of market trusted products to our clients.
We offer experience working in dynamic, professional, fast paced environment, friendly and multicultural colleagues and robust career progression.
Responsibilities
Candidates are required to help build and enhance the Bonds & CDs pricing data for our Derivative Business
Candidates are responsible for setting up securities, reference data to price the securities.
Seeking ways to improve current processes by leveraging the tools available to identify inefficiencies
Navigation of applications pertaining to work environment and operational requirements
Knowledge of basic data terms and terminology related to team
s functions
Expected to interact with external contacts on regular basis to procure required market information
Identify data quality issues, recommending procedural and technical changes to improve productivity and data quality for ICE Data Services;
Partner with various areas (Content Group, Quality Group, Product) to provide support for clients
requests and challenges
Work with Data Collection and Product to achieve common goals of improving data quality, accuracy and timeliness
Knowledge and Experience
Candidate should have strong interpersonal, written, reading and oral communication skills as job requires them to interact with external contacts
Individual must have strong analytical and problem-solving skills
MBA Finance or equivalent PG from a reputed institute/college with 0-2 years of experience
Proficiency in Microsoft Office applications
Must be results-oriented, self-motivated and have the ability to thrive in a fast-pace environment
Strong analytical skills
Strong attention to detail and time management
Ability to automate processes using VBA and Macros is a plus
Schedule
This role offers work from home flexibility of up to 2 days per week.",Hyderābād,"₹4,09,878",/yr (est.),5001 to 10000 Employees,2000,Company - Public,Stock Exchanges,Finance,$5 to $10 billion (USD),3.5,3.7,3.5,3.3,3.6
Equifax,Trainee - Data Scientist,3.5,"Synopsis of the role
The role of a data analytics consultant will be highly specialized and it will involve reviewing data to discover insights and offering expertise in data management. They will use the results of their analysis to make predictions and help guide business strategy and decision-making.
What you’ll do
Work with the Equifax bureau in India to build bureau based Analytics capabilities and use the new age technology to implement those solutions.
Expected to demonstrate independence in execution, results interpretation and presentation, and the production of documentation strong enough to evidence a sound challenge to both internal and external parties.
Knowledge of credit bureau, housing and/or demographic data is a plus. Manipulate large amounts of data and integrate diverse data sources into solutions.
Contribute to Building the BFSI Analytics practice through on- going identification of new opportunities
Understanding of key business and risk KPI’s for retail banking products, drawing insights from bureau datasets
Self-motivation, discipline, task focus, the ability to structure and present work and a proven record of delivering high quality results to strict deadlines
What experience you need
0 to 1 year experience in handling BFSI analytics/implementing models/Big data/Cloud solution architect
Good knowledge of SAS, SQL, Python, R.
Understanding of Retail banking products.
Analytical skill, logical thinking and problem solving capabilities.
Adaptability to work in project-based engagements across different kinds of banking clients.
Should be a team player.
Analytical skill, logical thinking and problem-solving capabilities.
Self-starter with high energy levels and ability to work in a fast-paced environment.
Self-motivation, discipline, task focus, the ability to structure and present work and a proven record of delivering high quality results to strict deadlines.
What could set you apart
Adaptability to work in project based engagements across different kinds of banking clients
Knowledge on statistical and probability concepts
Self-starter with high energy levels and ability to work in a fast paced environment",Mumbai,"₹9,87,421",/yr (est.),10000+ Employees,1899,Company - Public,Business Consulting,Management & Consulting,$2 to $5 billion (USD),3.4,3.4,3.3,3.1,3.4
Wesco,India-Bangalore: Data Engineer,3.7,"This person will work independently or with a team of data engineers on cloud technology products, projects, and initiatives. Work with all customers, both internal and external, to make sure all data related features are implemented in each solution. Will collaborate with business partners and other technical teams across the organization as required to deliver proposed solutions.
Job Description:
Works with Scrum masters, product owners, and others to identify new features for digital products.
Works with IT leadership and business partners to design features for the cloud data platform.
Troubleshoots production issues of all levels and severities, and tracks progress from identification through resolution.
Maintains culture of open communication, collaboration, mutual respect and productive behaviors; participates in the hiring, training, and retention of top tier talent and mentors team members to new and fulfilling career experiences.
Identifies risks, barriers, efficiencies and opportunities when thinking through development approach; presents possible platform-wide architectural solutions based on facts, data, and best practices.
Explores all technical options when considering solution, including homegrown coding, third-party sub-systems, enterprise platforms, and existing technology components.
Actively participates in collaborative effort through all phases of software development life cycle (SDLC), including requirements analysis, technical design, coding, testing, release, and customer technical support.
Develops technical documentation, such as system context diagrams, design documents, release procedures, and other pertinent artifacts.
Understands lifecycle of various technology sub-systems that comprise the enterprise data platform (i.e., version, release, roadmap), including current capabilities, compatibilities, limitations, and dependencies; understands and advises of optimal upgrade paths.
Establishes relationships with key IT, QA, and other corporate partners, and regularly communicates and collaborates accordingly while working on cross-functional projects or production issues.
Job Requirements:
EXPERIENCE:
2 years required; 3 - 5 years preferred experience in a data engineering role.
2 years required, 3 - 5 years preferred experience in Azure data services (Data Factory, Databricks, ADLS, Synapse, SQL DB, etc.)
EDUCATION:
Bachelor’s degree information technology, computer science, or data related field preferred
SKILLS/REQUIREMENTS:
Expertise working with databases and SQL.
Strong working knowledge of Azure Data Factory and Databricks
Strong working knowledge of code management and continuous integrations systems (Azure DevOps or Github preferred)
Strong working knowledge of cloud relational databases (Azure Synapse and Azure SQL preferred)
Familiarity with Agile delivery methodologies
Familiarity with NoSQL databases (such as CosmosDB) preferred.
Any experience with Python, DAX, Azure Logic Apps, Azure Functions, IoT technologies, PowerBI, Power Apps, SSIS, Informatica, Teradata, Oracle DB, and Snowflake preferred but not required.
Ability to multi-task and reprioritize in a dynamic environment.
Outstanding written and verbal communication skills
Wesco International, Inc., including its subsidiaries and affiliates (""Wesco"") provides equal employment opportunities to all employees and applicants for employment. Employment decisions are made without regard to race, religion, color, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, or other characteristics protected by law. US applicants only, we are an Equal Opportunity and Affirmative Action Employer.",Bengaluru,"₹6,51,920",/yr (est.),10000+ Employees,1922,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),3.5,3.4,3.6,3.3,3.8
Deliveroo,Data Scientist - Consumer,3.6,"At Deliveroo we have an outstanding data science organisation, with a mission to enable the highest quality human and machine decision-making. We work throughout the company - in product, business and platform teams - using analysis, experimentation, causal inference and machine learning techniques. We are uniquely placed to use data to help make better decisions and improve data literacy across Deliveroo.
At Deliveroo we have a highly active data science community, with guest lecturers, study groups, mentorship programmes, a robust technical review process, and plenty of opportunities to learn new things. Data Scientists can equally progress as technical leads (individual contributors) and as people managers.
Our data scientists come from all kinds of backgrounds but have excellence in common. Many are formally trained in data science, many are not. We celebrate difference and have a dedicated data science diversity committee.
This role is a unique opportunity to work with the Consumer org at an early stage in its development and to be part of projects which have a huge impact on our customers. As a data scientist within the Consumer team at Deliveroo, your main goal is to help us understand our customers and identify the next big opportunities to win them over. The Consumer space at Deliveroo is complex and offers incredibly varied and rewarding problems to solve. Our three-sided marketplace (of consumers, riders and restaurants) operates in real-time, serving millions of customers hyper-locally in more than 600 towns across 12 countries. The geographical and demographic diversity of our customers, as well as the competitive dynamics of the market, makes this a fascinating and intellectually challenging role.
You will help answer questions like:
Who should Deliveroo's target customers be and how does this vary on a national and hyperlocal level?
How are we performing with our customers and where are the opportunities to grow with them?
What trends are we seeing in our consumers behaviour, and how should we respond to this?
What food occasions are important to our customers, and are we providing them with what they need?
What new products and services would have the biggest impact on our consumers? Can we build a business case to make them work
What's the impact of inflation on our consumers? How does it change their behaviour?
The work you will do will have a direct, measurable impact on the bottom line of the company.
Qualifications:
Always curious and willing to learn new skills
Great communication skills - in person, in writing, in code; to technical and non-technical audiences
A problem solver with a deep analytical mindset
Ability to think creatively, insightfully and strategically about business problems
A critical thinker with very strong attention to detail
Proficiency with analytical tools like R/Python and SQL
A pragmatic, flexible approach, where you most care about achieving impact
Excellent people skills — you'll be meeting with stakeholders to translate business needs into data science problems
Familiarity with causal inference methods like diff-in-diff
End to end experience working with click-stream data, from requirement specification to insight generation
Ability to size expected impact of initiatives to inform prioritisation, balancing speed and accuracy depending on the situation
Experience developing in a BI tool (Looker or similar)
Big plus:
Experience contributing to machine learning pipelines
At Deliveroo these are just some of the tough problems we are solving - and there is no challenge that cannot be yours. The scope for growth and personal impact is enormous.
Why Deliveroo
0ur mission is to transform the way you shop and eat, bringing the neighbourhood to your door by connecting consumers, restaurants, shops and riders. We are transforming the way the world eats and shops by making access to food and products more convenient and enjoyable. We give people the opportunity to buy what they want, as they want it, when and where they want it.We are a technology-driven company at the forefront of the most rapidly expanding industry in the world. We are still a small team, making a very large impact, looking to answer some of the most interesting questions out there. We move fast, value autonomy and ownership, and we are always looking for new ideas.
Benefits and Diversity
At Deliveroo we know that people are the heart of the business and we prioritise their welfare. We offer a wide range of competitive benefits in areas including health, family, finance, community, convenience, growth, time away and relocation.
We believe a great workplace is one that represents the world we live in and how beautifully diverse it can be. That means we have no judgement when it comes to any one of the things that make you who you are - your gender, race, sexuality, religion or a secret aversion to coriander. All you need is a passion for (most) food and a desire to be part of one of the fastest growing startups in an incredibly exciting space.",Hyderābād,"₹6,45,179",/yr (est.),1001 to 5000 Employees,2013,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.1,3.3,3.6,3.1,3.8
Coforge Ltd.,DATA ANALYST,3.6,"Required Talend ETL Developer. Responsibilities include designing, developing, and documenting Talend ETL processes, data pipelines, and performance scaling using tools to integrate Talend data and ensure data quality. SQL competence (query performance tuning, index management, etc.) ... Understanding of data modeling concepts.

Knowledge of Talend ETL tool.",Greater Noida,"₹7,81,721",/yr (est.),10000+ Employees,2004,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),3.4,3.3,3.5,3.2,3.5
Wipro,Data Analyst,3.7,"Bengaluru, India
GSH
3036410
Job Description
Global Sales Enablement and Operations (GSE&O) is engaged in the strategic approach to enhance
sales performance by improving sales productivity and efficiency, to increase and drive revenues for
the company. The key goals of GSE is to manage a healthy funnel, increase deal conversions, driving
organizational alignment to sales function by designing and managing best-in-class sales processes
and providing deep data insights for decision making.

GSE is looking for specialist Business Data Analyst who has a passion to be a
part of a strategic function with a direct impact on growing revenues for the organization. As part of
the GSE&O, you will be responsible for designing reports & dashboards, assessing the sales data,
identifying key sales patterns, and developing projections that aid in executive decision making.


Roles & Responsibilities:

Roles & Responsibilities -

Design, Execute and Manage Sales Analytics and Reporting globally for sales insights
Provide actionable insights from huge volume of data (Both Structured and Unstructured)
using Data Mining, Data Cleansing techniques.
Collecting, analyzing, and processing data to measure key performance indicator against
business objectives and benchmarks for the organization
Collaborating with senior management to lead and implement process & policy changes
Analyze results and set up reports, design dashboards containing relevant KPI, measures that
enable informed decision making
Driving user forums and platforms for best practices sharing and knowledge harvesting to
improve sales operations


Qualifications:

Requirments and Qualifications -

Post-graduate degree in Management from premier institutes with more than 8 years of experience
Experience in Advanced sales analytical and reporting skills
Experience in sales operations and reporting, executive insight generation
Hands-On experience in working with Power BI / Tableau / Data Visualization tools
Proficient in formulating interactive dashboards/reports involving complex data using
Advanced Excel, VBA, etc.
Strong leadership and communication skills
Knowledge of current trends and practices relating to sales force effectiveness/ productivity
analytics and Insights generation.
Excellent communication and presentation skills

If you encounter any suspicious mail, advertisements, or persons who offer jobs at Wipro, please email us at helpdesk.recruitment@wipro.com. Do not email your resume to this ID as it is not monitored for resumes and career applications.
Any complaints or concerns regarding unethical/unfair hiring practices should be directed to our Ombuds Group at ombuds.person@wipro.com

We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, caste, creed, religion, gender, marital status, age, ethnic and national origin, gender identity, gender expression, sexual orientation, political orientation, disability status, protected veteran status, or any other characteristic protected by law.

Wipro is committed to creating an accessible, supportive, and inclusive workplace. Reasonable accommodation will be provided to all applicants including persons with disabilities, throughout the recruitment and selection process. Accommodations must be communicated in advance of the application, where possible, and will be reviewed on an individual basis. Wipro provides equal opportunities to all and values diversity.",Bengaluru,"₹4,94,975",/yr (est.),10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),3.6,3.2,3.7,3.3,3.5
Scymes Services Pvt. ltd,Reference Data Analyst,2.5,"*The Reference Data Analyst focuses on effective strategic data used across the bank’s systems and infrastructure. Reference data, either sourced externally or generated internally, covers a wide range of critical enterprise-wide information such as pricing, securities, books, financial products, clients, legal entities, accounts, and mandates.
*The Reference Data Analyst supports various elements of the data lifecycle, from ensuring that data is captured from the best source, to validating and classifying, and operating controls that optimize its quality and maximize coverage. The Reference Data Analyst has responsibility for maintaining robust processes related to data set-up, storage and distribution, as well as system configuration, together with participation in projects designed to streamline infrastructure and improve efficiency.
*Person should have application knowledge of Applications like SCD, PACE, Aladdin and vendor like Refintivie and Bloomberg.
Job Types: Full-time, Fresher
Salary: ₹20,000.00 - ₹25,000.00 per month
Benefits:
Health insurance
Provident Fund
Schedule:
Day shift
Ability to Relocate:
Bangalore, Karnataka: Relocate before starting work (Required)
Work Location: In person",Bengaluru,"₹22,500",/mo (est.),Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,2.5,2.5,2.5,2.0,2.0
JPMorgan Chase & Co,Data Visualization Associate,4.0,"JOB DESCRIPTION

As a Data Management - Data Visualization Associate, you will collaborate with stakeholders to understand their data requirements and objectives. You will be working closely with data analysts and data scientists to analyze and interpret data, identifying key insights and patterns that need to be communicated visually.
You will make use of data visualization tools such as Tableau, Power BI, or Python libraries like Matplotlib or Plotly to create compelling visualizations. Design intuitive and visually appealing charts, graphs, dashboards, and interactive visual representations that effectively convey the intended message and highlight key insights.
You will create narratives around the data to effectively communicate the story behind the numbers. Combine visualizations with contextual information, annotations, and explanations to provide meaningful insights and guide stakeholders in their decision-making process.
Job Responsibilities:
Data Exploration and Discovery: Explore datasets to uncover trends, outliers, and relationships. Utilize interactive visualizations to allow stakeholders to interact with the data, drill down into details, and discover insights on their own.
Dashboard Development: Design and develop interactive dashboards that consolidate multiple visualizations and key metrics in a single view. Ensure the dashboards are user-friendly, intuitive, and provide the necessary level of interactivity for stakeholders to explore and analyze data effectively.
Stakeholder Collaboration: Work closely with business stakeholders, data analysts, data scientists, and other teams to understand their data visualization needs. Collaborate to define visualization requirements, iterate on design concepts, and incorporate feedback to deliver high-quality visualizations that meet stakeholders' expectations.
Data Quality Assurance: Perform data quality checks on the underlying datasets to ensure accuracy, consistency, and integrity. Validate the visualizations against the source data to ensure the accuracy of the information being presented.
Stay Updated on Visualization Best Practices: Keep abreast of the latest trends, techniques, and best practices in data visualization. Stay updated on advancements in visualization tools and technologies. Continuously develop your skills in data visualization, graphic design, and user experience to enhance the quality and effectiveness of your visualizations.
Documentation and Training: Document the design choices, methodologies, and assumptions made during the visualization process. Prepare user guides and documentation to help stakeholders understand and navigate the visualizations. Conduct training sessions or workshops to educate stakeholders on how to interpret and use the visualizations effectively.
Collaboration and Communication: Collaborate with cross-functional teams and stakeholders to ensure alignment between data analysis, interpretation, and visualization. Communicate complex findings and insights in a clear and concise manner, tailoring the visualizations to the specific needs and understanding of different audiences.
Required Qualifications, Skills and Capabilities:
6 years of industry experience in U/X design with focus on Analytics, infographics and a portfolio of breathtaking visual stories
Good understanding of KPIs with a proven track record of identifying and implementing fit-for-purpose KPIs to address different business processes.
Strong story telling proficiency using Data Visualization tools such as Qlik, Tableau, having built impactful visual dashboards involving advanced visuals through bubble charts, area charts, heat maps, tree maps, funnel diagrams etc.
Experience working on data wrangling tools such as Microsoft SSIS, Alteryx or Talend in order to source, integrate and prepare the data for dashboards is very desirable
ABOUT US

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world’s most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as any mental health or physical disability needs.



ABOUT THE TEAM

Commercial Banking is focused on helping our clients succeed and making a positive difference in our communities. We provide credit and financing, treasury and payment services, international banking and real estate services to clients including corporations, municipalities, institutions, real estate investors and owners, and nonprofit organizations.",Hyderābād,"₹7,42,967",/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4.0,3.9,3.9,3.6,3.7
